file_name,chunk_id,text
0-prelim.pdf,0,infoh515 big data distributed data management scalable analytics preliminaries dimitrissacharidisgianlucabontempi 20242025 lecture outline generalcourseinformation 1 general course information course objective introducethefundamentalnotionsprinciplesandresearchresultsconcerning modernscalableandfaulttolerantwaysformanagingandanalyzingmassive amountsofdatausingparallelanddistributedsystems keyquestions whatisbigdatawhatarethecharacteristicsofsuchdata whatisacomputecluster howdoclustersstoredata howaretheyprogrammed whatarenotionsofefficiencyfordistributedalgorithms whatisbigdataanalytics howdoyouperformmachinelearningonbigdata 3 competences develop aftersuccessfulcompletionofthiscourseyoushouldbeableto 1 understandthecharacteristicsofbigdataandthechallengestheserepresent 2 knowtheprincipalarchitecturesofbigdatamanagementandanalytics systemsbeabletoexplainthepurposeofeachtheircomponentsandbeable torecognizeandexplainthekeypropertiesstrengthsandlimitationsofeach typeofsystemandtheircomponents 3 understandthekeybottlenecksinmanagingandanalyzingmassiveamountsof dataandbefamiliarwithmodernalgorithmsforovercomingthesebottlenecks usingparallelanddistributedcomputation 4 activelyusethisalgorithmicknowledgeinthedesignandimplementationof applicationsthatsolvecommondatamanagementandanalyticsproblems usingdifferenttypesofbdmas 5 buildaplicationsusingspecificinstancesofeachtypeofbdmas 4 2 acourseonhowtoinstallbigdataframeworks 3 anexhaustiveanddetailedlookintoallpossiblebigdataframeworksthat currentlyexist course 1 acourseonhowtobuildcomputeclusters 5 3 anexhaustiveanddetailedlookintoallpossiblebigdataframeworksthat currentlyexist course 1 acourseonhowtobuildcomputeclusters 2 acourseonhowtoinstallbigdataframeworks 5 course 1 acourseonhowtobuildcomputeclusters 2 acourseonhowtoinstallbigdataframeworks 3 anexhaustiveanddetailedlookintoallpossiblebigdataframeworksthat currentlyexist 5 infoh515 2 parts part1distributedmanagement lecturesbyprof dsacharidisulb dimitrissacharidisulbbe part2scalableanalytics lecturesbyprof gbontempiulb gianlucabontempiulbbe 6 prerequisites required goodprogrammingskills introductorycourseondatamanagement introductorycourseonalgorithmsanddatastructures introductorycourseonmachinelearning atulbinfof422statisticalfoundationsofmachinelearning atvub1002080cnrmachinelearningor4004728dnrtechniquesof artificialintelligence 7 infoh515 organization thecourseisorganizedasamixtureof lectures readingassignments projectwork 8 infoh515 organization part1 distributed management part2 scalableanalytics theory theory fridays10h12h fridays10h12h 14feb21mar 4apr23may ulbsolbosch ulbplainepforum sub4136sdc2206 exercises exercises wednesdays10h12h wednesdays10h12h tba 26feb5mar12mar19mar ulbsolboschtba checkuvandulbschedulesforscheduleandroomupdates httpswwwulbbeenschedules 9 infoh515 syllabus thesyllabusavailableatthevirtualuniversityconsistsof slides associatedreadingassignments coursematerialexercisesreadingassignmentsareallpublishedonthe ulbvirtualuniversity httpsuvulbacbecourseviewphpid124821 checkregularlyforupdates 10 infoh515 evaluation project60offinalscore writtenexam40offinalscore 11
1-intro.pdf,0,infoh515 big data distributed management lecture 1 introduction hdfs mapreduce dimitrissacharidis lecture outline whatisbigdata howisbigdataused bigdatacenters hdfs mapreduce 1 big data big data like teenage sex everyone talks nobody really knows everyone thinks everyone else everyone claims dan ariely 3 history big three big data data analytics data science 4 data analytics data science history big three big data 4 data analytics data science big three big data history 4 source economist february 25 2010 data deluge eighteen months ago li fung firm manages supply chains retailers saw 100 gigabytes information flow network day amount increased tenfold 2009 american drone aircraft flying iraq afghanistan sent back around 24 years worth video footage new models deployed year produce ten times many data streams predecessors 2011 produce 30 times many source economist february 25 2010 data deluge everywhere look quantity information world soaring according one estimate mankind created 150 exabytes billion gigabytes data 2005 year create 1200 exabytes merely keeping flood storing bits might useful difficult enough analysing spot patterns extract useful information harder still source economist february 25 2010 data deluge 2030s computer data storage may surpass 1 yottabyte 1024 largest number official metric prefix international bureau weights measures bipm paris recommends new namesronna queccaas prefixes 1027and 1030 1 gigabyte 109 bytes 1 terabyte 1012 bytes 1 petabyte 1015 bytes 1 exabyte 1018 bytes 1 zetabyte 1021 bytes 1 yottabyte 1024 bytes 1 ronnabyte 1027 bytes 1 queccabyte 1030 bytes httpswwwscienceorgcontentarticleyouknowkilomegaandgigametricsystemreadyronnaandquecca really problematic assume youre google beginning 2000s want index web really problematic although hard accurately determine size web point time safe say consists hundreds billions individual documents continues grow assume web contain 100 billion documents average document size 4 kb compression web 400 tb size resulting inverted web search index depends specific implementation tends order magnitude original repository source datacenter
1-intro.pdf,1,computer luiz andré barroso google jimmy clidaras google urs hölzle google big data definitions 14 bigdataisatermencompassingtheuseoftechniquestocapturepro cess analyseandvisualize potentially largedatasets reasonable timeframe accessible standard technologies extension platform tools software used purpose collectively calledbigdatatechnologies nessi1 1theeuropeantechnologyplatformdedicatedtosoftwareservicesanddata 5 big data definitions 24 bigdata refers datasetswhosesizeisbeyondtheabilityoftypical databasesoftwaretoolstocapture store manage andanalyze definition intentionally subjective incorporates moving defi nition big dataset needs order considered big data assume technology advances time size datasetsthatqualifyasbigdatawillalsoincrease mckinseyglobalinstitute2 2bigdatathenextfrontierforinnovationcompetitionandproductivityjune2011 6 big data definitions 34 big data data sets voluminous complex tra ditional data processing application software inadequate deal big data challenges include capturing data data storage data analysis search sharing transfer visualization querying updat ingandinformationprivacy lately thetermbigdatatendstorefertotheuseofpredictiveanalyt ics userbehavioranalytics orcertainotheradvanceddataanalytics methodsthatextractvaluefromdata andseldomtoaparticularsize ofdataset wikipedia 7 big data definitions 44 bigdatareferstoextremelylargedatasetsthatcannotbeeasilyman aged processed analyzed using traditional data processing meth ods characterized three vs volume variety velocity describe sheer amount data diversity data types speed generated big data technologies enable businessesandresearcherstogaininsightsandmakedatadrivende cisionsfromthesevastdynamicdatasets chatgpt022025 8 history big three big data data analytics data science 9 history big data data science big three data analytics 9 data analytics definition data analysis also known analysis data data analytics process inspecting cleansing transforming modeling data goal discovering useful information suggesting conclu sionsandsupportingdecisionmaking wikipedia 10 11 history big three big data data analytics data science 12 history big data data analytics big three data science 12 data science definitions 13 datascienceisthestudyofthegeneralizableextractionofknowledge fromdata vasantdhar3 fromthearticle thetermscienceimpliesknowledgegainedthroughsystematicstudy adatascientistrequiresanintegratedskillsetspanningmathematics machinelearningartificialintelligencestatisticsdatabasesand optimizationalongwithadeepunderstandingofthecraftofproblem formulationtoengineereffectivesolutions 3datascienceandpredictionscommunicationsoftheacm56122014 13 data science definitions 23 data science also known datadriven science interdisci plinary field scientific methods processes systems extract knowledge insights data various forms either structuredorunstructured data science concept unify statistics data analysis relatedmethodsinordertounderstandandanalyzeactualphenom ena data employs techniques theories drawn many fieldswithinthebroadareasofmathematicsstatisticsinformationsci enceandcomputerscience wikipedia 14 data science definitions 33 data science field combines statistical analysis machine learning data processing techniques extract valuable insights large complex datasets involves
1-intro.pdf,2,collecting cleaning analysing interpreting data inform decisionmaking solve problems across various industries data scientists use programming mathematicsanddomainexpertisetouncoverpatternsandtrendsin data chatgpt022025 15 conclusion recallthecourseobjective introducethefundamentalnotions principlesandresearchresultsconcerning modernscalableandfaulttolerantwaysfor managingandanalyzingmassiveamountsof datausingparallelanddistributedsystems thecourseishenceconcernedwithbigdata andbigdataanalyticsandthusrelevantfor datascience 16 challenges big data sourcehttpwwwibmbigdatahubcomsitesdefaultfilesinfographic_file 17 4vsofbigdatajpg big data used big data used slidestakenfromhttpswwwslidesharenetdellbigdatausecases3601989 19 big data use cases 1 optimize funnel 5 market basket conversion analysis pricing optimization 2 behavioral analytics 6 predict security threats 3 customer segmentation 7 fraud detection 4 predictive 8 industry specific support 1 optimize funnel conversion big data analytics allows companies track leads entire sales conversion process click adword ad final transaction order uncover insights conversion process improved company industry tmobile communication employees type optimize funnel 38000 conversion purpose tmobile uses multiple indicators billing sentiment analysis order identify customers upgraded higher quality products well identify high lifetime customervalue team focus retaining customers tweet company industry celcom axiata communication berhad employees type optimize funnel enterprise conversion purpose celcom axiata berhad adopted big data solution order improve customer retention boost market share improving marketing campaign process company used realtime data create personalized campaign customer based products offers customer would want need tweet 2 behavioral analytics access data consumer behavior companies learn prompts customer stick around longer well learn customers characteristics purchasing habits order improve marketing efforts boost profits company industry mastercard finance type employees behavioral 67000 analytics purpose 18 billion customers mastercard unique position able analyze behavior customers stores also thousands retailers company teamed mu sigma collect analyze data shoppers behavior provide insights finds retailers benchmarking reports tweet company industry time warner cable entertainment type employees behavioral analytics 34000 customer segmentation purpose services like hulu netflix competing viewers attention time warner collects data frequently customers tune effect bandwidth consumer behavior customer engagement peak usage times order improve service increase profits company also segments customers advertisers correlating
1-intro.pdf,3,viewing habits public datasuch voter registration informationin order launch highly targeted campaigns specific locations demographics tweet company industry nestlé food beverage type employees behavioral 330000 analytics purpose customer complaints pr crises become difficult handle thanks social media better keep track customer sentiment said company online nestle created 247 monitoring centre listen conversations company products social media company actively engage post online order mitigate damage build customer loyalty tweet 3 customer segmentation accessing data consumer multiple sources social media data transaction history companies better segment target customers start make personalized offers customers company industry heineken food beverage type employees customer 64252 segmentation purpose thanks partnerships google facebook heineken access vasts amounts data customers uses create realtime personalized marketing messages one project provides realtime content fans happen watching sponsored event tweet company industry spotify entertainment type employees customer 5000 segmentation behavioral analytics purpose spotify uses data user profiles users playlists historical data music played provide recommendations user combining data millions users spotify able make recommendations even particular user doesnt extensive history site tweet 4 predictive support sensors machinegenerated data companies identify malfunction likely occur company preemptively order parts make repairs order avoid downtime lost profits company industry southwest airlines travel type employees predictive support 45000 purpose southwest analyses sensor data planes order identify patterns indicate potential malfunction safety issue allows airline address potential problems make necessary repairs without interrupting flights putting passengers danger tweet company industry engine yard cloud storage type employees predictive support 130 purpose engine yard provides big data analytics users monitor performance applications real time pinpoint problems infrastructure optimize platform correct performance issues tweet 5 market basket analysis pricing optimization quickly pulling data together multiple sources retailers better optimize product selection pricing well decide target ads company industry cocacola co food type employees market basket 146200 analysis purpose cocacola
1-intro.pdf,4,uses algorithm ensure orange juice consistent taste throughout year algorithm incorporates satellite imagery crop yields consumer preferences details flavours make particular fruit order determine juice blended tweet 6 predict security threats big data analytics track trends security breaches allow companies proactively go threats strike company industry rabobank finance employees type 27000 predict security threats purpose rabobank analysed criminal activities atms determine factors increased risk becoming victimized discovered proximity highways weather conditions season affect risk security threat tweet company industry amazon online retail employees type predict security 110000 threats purpose 15 billion items catalog amazon lot product keep track protect uses cloud system s3 predict items likely stolen better secure warehouses tweet 7 fraud detection financial firms use big data help identify sophisticated fraud schemes combining multiple points data company industry zions bank finance employees type 2700 fraud detection purpose zions bank uses data analytics detect anomalies across channels indicate potential fraud fraud team receives data 140 sourcessome realtimeto monitor activity customer makes mobile banking transaction time branch transaction tweet company industry discovery health insurance employees type 5000 fraud detection purpose discovery health uses big data analytics identify fraudulent claims possible fraudulent prescriptions example identify healthcare provider charging expensive procedure actually performed tweet 8 industry specific virtually every industry invested big data help solve specific challenges industries face healthcare example uses big data improve patient outcomes agriculture uses data boost crop yields company industry kayak travel type employees industry specific 101 purpose kayak uses big data analytics create predictive model tells users price particular flight go within next week system uses one billion search queries find cheapest flights well popular destinations busiest airports algorithm constantly improved tracking flights see predictions correct tweet company industry aurora health care health care employees type 30000 industry specific purpose aurora collects internal well national data
1-intro.pdf,5,order create benchmark healthcare quality also analyzes data groups patients similar medical conditions reveal trends diseases identify right candidates medical research finally realtime data analysis allows aurora predict improve patient outcomes far reduced readmissions 10 percent tweet company industry shell oil employees type 87000 industry specific purpose shell uses sensor data map oil gas wells order increase output boost efficiency operations data received sensors analyzed artificial intelligence rendered 3d 4d maps tweet takeaway examples data stored processed analyzed turn value 20 big datacenters process big data assume youre google beginning 2000s want index web execution environment 1997 bunch computers web index fit single computer redundancy ensure availability execution environment 1999 compute servers consist multiple cpus possibly multiple cores per cpu attached hard disks google corckboard servers collected racks rack highspeed ethernet connections least 1gbps connect servers rack together execution environment currently image google datacenter mons belgium racks connected together central network switches using multigbps redundant links access data racks slower data computersame rack many racks together form data center discussion compute node kept simple design midrange computers much cheaper powerful highrange computers consume less energy google lots characteristics figure source datacenter computer characteristics capacity amount data figure source datacenter computer store per serverrackdatacenter characteristics latency time takes fetch data figure source datacenter computer item asked local machineanother server rackanother server different rack characteristics bandwidth speed data figure source datacenter computer transferred machineanother server rackanother server different rack characteristics conclusion huge storage capacity latency racks 110 latency rack level 110 latency server level bandwidth racks 110 bandwidth rack level ½ 110 bandwidth server level figure source datacenter computer gain parallelism let us consider maximal aggregate bandwidth speed analyze data parallel assuming ideal data distribution servers disks embarrassingly parallel example count number times word belgium appears documents web server multiple cpus read
1-intro.pdf,6,multiple disks parallel server analyze many documents parallel end sum perserver counters done fast gain parallelism let us consider maximal aggregate bandwidth speed analyze data parallel assuming ideal data distribution servers disks component max aggr bandwidth 1 hard disk 100 mbsec 1 gbps server 12 hard disks 12 gbsec 12 gbps rack 80 servers 96 gbsec 768 gbps clusterdatacenter 30 racks 288 tbsec 23 tbps scanning 400tb hence takes 138 secs 23 minutes scanning 400tb sequentially 100 mbsec takes 4629 days challenges 12 scalable software development allow growth without requiring rearchitecting algorithmapplications auto scale challenges 22 faulttolerance 1000s machines failures happen every day faulttolerance typically addressed redundancy andor reexecution annualfailurerateafrforagivenmttf hoursin1year 36524 afr 0876 mttf 106 expectednumberofdiskfailuresperyearinadatacenterwith100000 disks disks disks disksafr1050876876 2 year day faulttolerance motivational example meantimetofailuremttfoftypicalharddisk 1000000hours114years 22 expectednumberofdiskfailuresperyearinadatacenterwith100000 disks disks disks disksafr1050876876 2 year day faulttolerance motivational example meantimetofailuremttfoftypicalharddisk 1000000hours114years annualfailurerateafrforagivenmttf hoursin1year 36524 afr 0876 mttf 106 22 faulttolerance motivational example meantimetofailuremttfoftypicalharddisk 1000000hours114years annualfailurerateafrforagivenmttf hoursin1year 36524 afr 0876 mttf 106 expectednumberofdiskfailuresperyearinadatacenterwith100000 disks disks disks disksafr1050876876 2 year day 22 googles solutions new programming models frameworks distributed scalable data analysis name purpose open source impl google file system distributed file system scalable storage highthroughput retrieval apache hadoop map reduce programming model execution hdfs environment generalpurpose mr distributed batch processing bigtable nosql database apache hbase dremel f1 query language interactive sql apache sparkdrill like analysis structured datasets lots research ongoing highlevel design described series papers implementation available hdfs hdfs hadoop distributed file system hdfs architecture hdfs masterslave architecture master namenode nn manages file system regulates access files clients slaves datanodes dn usually one per server cluster manage storage attached server run files transparently namenode metadatafilename replication factor block ids broken blocks usersdsdat0txt r2 13 default 128 mb usersdsdat1txt r3 2 4 5 blocks replicated across datanodes datanodes replication rackaware
1-intro.pdf,7,dat0txt 1 3 dat1txt 2 4 5 1 2 2 5 1 3 2 4 4 5 3 4 5 hdfs architecture hdfs masterslave architecture master namenode nn manages file system regulates access files clients slaves datanodes dn usually one per server cluster manage storage attached server run optimized namenode metadatafilename replication factor block ids large files usersdsdat0txt r2 13 read throughput usersdsdat1txt r3 2 4 5 appending writes files appendonly datanodes replication ensures durability availability 1 2 2 5 1 3 2 4 throughput 4 5 3 4 5 hdfs common pitfalls hdfs optimized large files single hdfs block 128 mb per default make sense store files smaller 128 mb hdfs files immutable optimized sequential access new files created appended random access file created immutable changing file requires creating hdfs implementation namenode datanode pieces software designed run commodity machines machines typically run gnulinux operating system os hdfs built using java language machine supports java run namenode datanode software usage highly portable java language means hdfs deployed wide range machines source hadoop documentation implies clients need install jar file access hdfs typical hdfs commands binhadoop fs ls binhadoop fs mkdir binhadoop fs copyfromlocal binhadoop fs copytolocal binhadoop fs movetolocal binhadoop fs rm mapreduce mapreduce simplified data processing large clusters reaction complexity designed new abstraction allows us express simple computations trying perform hides messy details parallelization fault tolerance data distribution load balancing library abstraction inspired map reduce primitives present lisp many functional languages realized computations involved applying map operation logical record input order compute set intermediate keyvalue pairs applying reduce operation values shared key order combine derived data appropriately use functional model user specified map reduce operations allows us parallelize large computations easily use reexecution primary mechanism fault tolerance mr computational model mr job specified two functions map reduce input keyvalue
1-intro.pdf,8,pair represents logical record input data source case file could line input source database table could record map key1 value1 listkey2 value2 single input keyvalue pair may result zero output keyvalue pairs mr computational model mr job specified two functions map reduce reduce function called per unique map output key receives list values emitted key reduce key2 listvalue2 listkey3 value3 like map function reduce output zero many keyvalue pairs mr computational model word occurring document web count number occurrences across documents def mapdocid line word line yield word 1 def reduceword listofoccnumbers yield word sumlistofoccnumbers mr opportunity parallelism spawn multiple copies map function called map tasks parallel one keyvalue pair likewise spawn multiple copies reduce function called reduce tasks parallel one unique key output map input map output shufflesort reduce input cat 1 doc1 map dog 1 cat 11 reduce turtle 1 dog 11 reduce doc2 map cat 1 belgium 1 turtle 11 reduce doc3 map du ogrt le 1 1 belgium 1 reduce mr execution hadoop v1 architecture master jobtracker accepts jobs decomposes map reduce tasks schedules remote execution child nodes slave tasktracker accepts tasks jobtracker spawns child processes actual work idea ship computation data namenode jobtracker job1 map task 1 jobtracker accepts mr map task 2 jobs reduce task 1 input hdfs file reduce task 2 map task created job2 datanodes tasktrackers block sent node holding block execution map output written 1 2 2 5 1 3 2 4 local disk 4 5 3 4 5 mr execution hadoop v1 architecture master jobtracker accepts jobs decomposes map reduce tasks schedules remote execution child nodes slave tasktracker accepts tasks jobtracker spawns child processes actual work idea ship computation data namenode jobtracker job1 map task 1 jobtracker creates map task 2 reduce tasks intelligently reduce task 1 reduce task 2
